001	Rambrouch
002	Wincrange
003	Käerjeng
004	Tandel
005	Beaufort
006	Bech
007	Beckerich
008	Berdorf
009	Colmar-Berg
010	Bertrange
011	Préizerdaul
012	Bettembourg
013	Bettendorf
014	Betzdorf
015	Rambrouch
016	Bissen
017	Biwer
018	Wincrange
019	Helperknapp
020	Boulaide
021	Bourscheid
022	Bous
023	Schengen
024	Käerjeng
025	Clervaux
026	Consdorf
027	Parc Hosingen
028	Contern
029	Dalheim
030	Diekirch
031	Differdange
032	Dippach
033	Dudelange
034	Echternach
035	Luxembourg
036	Ell
037	Vallée de l'Ernz
038	Erpeldange-sur-Sûre
039	Esch-sur-Alzette
040	Esch-sur-Sûre
041	Wiltz
042	Ettelbruck
043	Feulen
044	Fischbach
045	Flaxweiler
046	Rambrouch
047	Tandel
048	Frisange
049	Garnich
050	Goesdorf
051	Grevenmacher
052	Grosbous
053	Wincrange
054	Luxembourg
055	Lac de la Haute-Sûre
056	Heffingen
057	Esch-sur-Sûre
058	Clervaux
059	Hesperange
060	Habscht
061	Luxembourg
062	Parc Hosingen
063	Parc Hosingen
064	Junglinster
065	Kiischpelt
066	Kayl
067	Kehlen
068	Koerich
069	Kopstal
070	Larochette
071	Lenningen
072	Leudelange
073	Lintgen
074	Lorentzweiler
075	Luxembourg
076	Mamer
077	Manternach
078	Lac de la Haute-Sûre
079	Vallée de l'Ernz
080	Mersch
081	Mertert
082	Mertzig
083	Rosport-Mompach
084	Mondercange
085	Mondorf-les-Bains
086	Clervaux
087	Esch-sur-Sûre
088	Niederanven
089	Nommern
090	Wincrange
091	Rambrouch
092	Pétange
093	Putscheid
094	Reckange-sur-Mess
095	Redange-sur-Attert
096	Reisdorf
097	Schengen
098	Remich
099	Junglinster
100	Roeser
101	Luxembourg
102	Rosport-Mompach
103	Rumelange
104	Saeul
105	Sandweiler
106	Sanem
107	Schieren
108	Schifflange
109	Schuttrange
110	Habscht
111	Stadtbredimus
112	Steinfort
113	Steinsel
114	Strassen
115	Troisvierges
116	Helperknapp
117	Useldange
118	Vianden
119	Vichten
120	Wahl
121	Waldbillig
122	Waldbredimus
123	Walferdange
124	Weiler-la-Tour
125	Weiswampach
126	Schengen
127	Wiltz
128	Kiischpelt
129	Winseler
130	Wormeldange